==================================================================================================================================
  FULL TRADE LOG - CRV/USDT Mean Reversion Bot (SL=20% | CB=50% | Cooldown=24h)
==================================================================================================================================
    # Dir    Entry Date       Exit Date           Entry     Exit      PnL ($)    PnL % Reason              Dur       Eq After
  --- ------ ---------------- ---------------- -------- -------- ------------ -------- ---------------- ------ --------------
    1 SHORT  2025-05-01 04:00 2025-05-06 12:00   0.7253   0.6425 $   +2090.42  +11.42% flip               128h $    12,080.30
    2 LONG   2025-05-06 12:00 2025-05-08 20:00   0.6425   0.7609 $   +4083.91  +18.43% flip                56h $    16,151.98
    3 SHORT  2025-05-08 20:00 2025-05-13 04:00   0.7609   0.7187 $   +1631.92   +5.55% flip               104h $    17,767.56
    4 LONG   2025-05-13 04:00 2025-05-22 04:00   0.7187   0.8086 $   +4071.40  +12.51% flip               216h $    21,820.98
    5 SHORT  2025-05-22 04:00 2025-06-05 04:00   0.8086   0.6332 $   +8687.31  +21.69% flip               336h $    30,486.21
    6 LONG   2025-06-05 04:00 2025-06-10 08:00   0.6332   0.7293 $   +8482.56  +15.18% flip               124h $    38,937.92
    7 SHORT  2025-06-10 08:00 2025-06-13 00:00   0.7293   0.5858 $  +14057.90  +19.68% flip                64h $    52,956.41
    8 LONG   2025-06-13 00:00 2025-06-16 16:00   0.5858   0.6426 $   +9394.31   +9.70% flip                88h $    62,297.13
    9 SHORT  2025-06-16 16:00 2025-06-22 04:00   0.6426   0.5354 $  +19059.25  +16.68% flip               132h $    81,293.33
   10 LONG   2025-06-22 04:00 2025-07-08 16:00   0.5354   0.5219 $   -3853.89   -2.52% flip               396h $    77,357.17
   11 SHORT  2025-07-08 16:00 2025-07-11 04:00   0.5219   0.6298 $  -29505.73  -20.67% stop_loss           60h $    47,773.16
   12 SHORT  2025-07-15 20:00 2025-07-16 04:00   0.7578   0.7913 $   -3934.25   -4.42% circuit_breaker      8h $    43,790.56
   13 SHORT  2025-07-17 04:00 2025-08-15 12:00   0.9881   0.8691 $   +9659.54  +12.04% flip               704h $    53,405.79
   14 LONG   2025-08-15 12:00 2025-09-08 12:00   0.8691   0.7961 $   -8307.95   -8.40% flip               576h $    45,043.79
   15 SHORT  2025-09-08 12:00 2025-09-15 08:00   0.7961   0.7585 $   +3868.89   +4.72% flip               164h $    48,867.09
   16 LONG   2025-09-15 08:00 2025-09-18 08:00   0.7585   0.8055 $   +5522.10   +6.20% flip                72h $    54,339.74
   17 SHORT  2025-09-18 08:00 2025-09-22 04:00   0.8055   0.6947 $  +13698.39  +13.76% flip                92h $    67,983.15
   18 LONG   2025-09-22 04:00 2025-09-28 20:00   0.6947   0.7043 $   +1659.80   +1.38% flip               160h $    69,574.14
   19 SHORT  2025-09-28 20:00 2025-10-10 20:00   0.7043   0.4978 $  +37463.87  +29.32% flip               288h $   106,967.60
   20 LONG   2025-10-10 20:00 2025-10-13 16:00   0.4978   0.6326 $  +53189.03  +27.08% flip                68h $   160,048.38
   21 SHORT  2025-10-13 16:00 2025-10-17 04:00   0.6326   0.5007 $  +61240.34  +20.85% flip                84h $   221,126.76
   22 LONG   2025-10-17 04:00 2025-10-19 12:00   0.5007   0.5590 $  +47151.31  +11.64% flip                56h $   268,054.29
   23 SHORT  2025-10-19 12:00 2025-10-30 12:00   0.5590   0.4955 $  +55756.39  +11.36% flip               264h $   323,539.41
   24 LONG   2025-10-30 12:00 2025-11-07 16:00   0.4955   0.4936 $   -2610.15   -0.38% flip               196h $   320,601.83
   25 SHORT  2025-11-07 16:00 2025-11-21 04:00   0.4936   0.3893 $ +124325.75  +21.13% flip               324h $   444,603.14
   26 LONG   2025-11-21 04:00 2025-11-24 16:00   0.3893   0.4072 $  +37164.88   +4.60% flip                84h $   481,318.08
   27 SHORT  2025-11-24 16:00 2025-12-01 00:00   0.4072   0.3865 $  +44533.64   +5.08% flip               152h $   525,364.62
   28 LONG   2025-12-01 00:00 2025-12-04 00:00   0.3865   0.4231 $  +91008.19   +9.47% flip                72h $   615,841.14
   29 SHORT  2025-12-04 00:00 2025-12-15 12:00   0.4231   0.3607 $ +166496.64  +14.75% flip               276h $   781,714.55
   30 LONG   2025-12-15 12:00 2025-12-22 12:00   0.3607   0.3726 $  +46662.25   +3.30% flip               168h $   827,585.71
   31 SHORT  2025-12-22 12:00 2025-12-31 20:00   0.3726   0.3589 $  +55152.23   +3.68% flip               224h $   881,900.42
   32 LONG   2025-12-31 20:00 2026-01-03 16:00   0.3589   0.4273 $ +308364.86  +19.06% flip                68h $ 1,189,372.79
   33 SHORT  2026-01-03 16:00 2026-01-12 20:00   0.4273   0.3907 $ +186245.74   +8.57% flip               220h $ 1,374,414.89
   34 LONG   2026-01-12 20:00 2026-01-13 20:00   0.3907   0.4335 $ +275644.98  +10.95% flip                24h $ 1,648,668.96
   35 SHORT  2026-01-13 20:00 2026-01-25 16:00   0.4335   0.3365 $ +677119.17  +22.38% flip               284h $ 2,324,119.68
   36 LONG   2026-01-25 16:00 2026-02-05 00:00   0.3365   0.2637 $ -927524.31  -21.63% stop_loss          248h $ 1,394,243.36
